entity_id,state,last_changed
sensor.geschirrspuler_current_consumption,1563.6,2025-09-30T10:14:16.006Z
sensor.geschirrspuler_current_consumption,1564.0,2025-09-30T10:14:21.012Z
sensor.geschirrspuler_current_consumption,1563.9,2025-09-30T10:14:25.999Z
sensor.geschirrspuler_current_consumption,1563.3,2025-09-30T10:14:31.007Z
sensor.geschirrspuler_current_consumption,1562.5,2025-09-30T10:14:36.013Z
sensor.geschirrspuler_current_consumption,1563.5,2025-09-30T10:14:41.001Z
sensor.geschirrspuler_current_consumption,1565.0,2025-09-30T10:14:46.007Z
sensor.geschirrspuler_current_consumption,1564.6,2025-09-30T10:14:51.015Z
sensor.geschirrspuler_current_consumption,1564.2,2025-09-30T10:14:55.999Z
sensor.geschirrspuler_current_consumption,1570.5,2025-09-30T10:15:01.006Z
sensor.geschirrspuler_current_consumption,1582.8,2025-09-30T10:15:06.012Z
sensor.geschirrspuler_current_consumption,1581.3,2025-09-30T10:15:10.999Z
sensor.geschirrspuler_current_consumption,1579.9,2025-09-30T10:15:16.005Z
sensor.geschirrspuler_current_consumption,1580.6,2025-09-30T10:15:21.018Z
sensor.geschirrspuler_current_consumption,1580.1,2025-09-30T10:15:25.999Z
sensor.geschirrspuler_current_consumption,1579.6,2025-09-30T10:15:31.006Z
sensor.geschirrspuler_current_consumption,1578.7,2025-09-30T10:15:36.013Z
sensor.geschirrspuler_current_consumption,1578.8,2025-09-30T10:15:40.999Z
sensor.geschirrspuler_current_consumption,1578.9,2025-09-30T10:15:51.016Z
sensor.geschirrspuler_current_consumption,1580.5,2025-09-30T10:15:55.999Z
sensor.geschirrspuler_current_consumption,1580.6,2025-09-30T10:16:01.000Z
sensor.geschirrspuler_current_consumption,1567.4,2025-09-30T10:16:06.009Z
sensor.geschirrspuler_current_consumption,1562.0,2025-09-30T10:16:11.018Z
sensor.geschirrspuler_current_consumption,1561.8,2025-09-30T10:16:15.999Z
sensor.geschirrspuler_current_consumption,1564.8,2025-09-30T10:16:21.006Z
sensor.geschirrspuler_current_consumption,1564.6,2025-09-30T10:16:26.012Z
sensor.geschirrspuler_current_consumption,1566.1,2025-09-30T10:16:30.999Z
sensor.geschirrspuler_current_consumption,1563.8,2025-09-30T10:16:36.009Z
sensor.geschirrspuler_current_consumption,1561.3,2025-09-30T10:16:41.012Z
sensor.geschirrspuler_current_consumption,1562.5,2025-09-30T10:16:46.000Z
sensor.geschirrspuler_current_consumption,1563.7,2025-09-30T10:16:51.007Z
sensor.geschirrspuler_current_consumption,1562.0,2025-09-30T10:16:56.014Z
sensor.geschirrspuler_current_consumption,1564.1,2025-09-30T10:17:01.009Z
sensor.geschirrspuler_current_consumption,1563.7,2025-09-30T10:17:06.012Z
sensor.geschirrspuler_current_consumption,1561.6,2025-09-30T10:17:11.014Z
sensor.geschirrspuler_current_consumption,1561.1,2025-09-30T10:17:15.999Z
sensor.geschirrspuler_current_consumption,1578.3,2025-09-30T10:17:21.006Z
sensor.geschirrspuler_current_consumption,793.5,2025-09-30T10:17:26.013Z
sensor.geschirrspuler_current_consumption,35.2,2025-09-30T10:17:31.002Z
sensor.geschirrspuler_current_consumption,34.5,2025-09-30T10:17:36.012Z
sensor.geschirrspuler_current_consumption,26.4,2025-09-30T10:17:41.013Z
sensor.geschirrspuler_current_consumption,26.3,2025-09-30T10:17:51.008Z
sensor.geschirrspuler_current_consumption,26.4,2025-09-30T10:17:56.000Z
sensor.geschirrspuler_current_consumption,26.3,2025-09-30T10:18:01.006Z
sensor.geschirrspuler_current_consumption,26.5,2025-09-30T10:18:06.016Z
sensor.geschirrspuler_current_consumption,26.4,2025-09-30T10:18:11.006Z
sensor.geschirrspuler_current_consumption,26.3,2025-09-30T10:18:16.007Z
sensor.geschirrspuler_current_consumption,26.4,2025-09-30T10:18:21.014Z
sensor.geschirrspuler_current_consumption,26.3,2025-09-30T10:18:31.007Z
